ruta,id_vaca,ojo,aug
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_orig.png,13,ojo1,orig
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_flip.png,13,ojo1,flip
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_rot.png,13,ojo1,rot
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_bright.png,13,ojo1,bright
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_zoom.png,13,ojo1,zoom
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_shift.png,13,ojo1,shift
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431(0)_hough_noise.png,13,ojo1,noise
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431_hough_orig.png,13,ojo1,orig
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431_hough_flip.png,13,ojo1,flip
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431_hough_rot.png,13,ojo1,rot
C:\Users\usuario\OneDrive\unipoli\Union ganaderaa\Nueva carpeta\siggan-proyecto\iris-training\iris_augmented\Vaca13\20260316_111431_hough_bright.png,13,ojo1,bright
