epoca,train_loss,val_acc,lr
1,15.318642,0.911765,2.00e-04
2,13.484482,0.939076,4.00e-04
3,11.564081,0.936975,6.00e-04
4,10.155845,0.953782,8.00e-04
5,9.367575,0.953782,1.00e-03
6,7.905342,0.974790,1.00e-03
7,7.031609,0.960084,1.00e-03
8,6.091551,0.968487,1.00e-03
9,5.099501,0.981092,1.00e-03
10,4.621794,0.981092,1.00e-03
11,4.119995,0.991597,1.00e-03
12,3.416670,0.981092,1.00e-03
13,3.342048,0.978992,1.00e-03
14,3.407321,0.987395,1.00e-03
15,2.558611,0.951681,1.00e-03
16,2.383235,0.976891,1.00e-03
17,2.548473,0.989496,1.00e-03
18,2.518336,0.987395,1.00e-03
19,2.142624,0.993697,1.00e-03
20,1.904218,0.978992,1.00e-03
21,1.873557,0.976891,1.00e-03
22,1.738766,0.983193,1.00e-03
23,1.716558,0.978992,1.00e-03
24,1.709716,0.970588,1.00e-03
25,1.633016,0.974790,1.00e-03
26,1.452452,0.983193,1.00e-03
27,1.455175,0.985294,1.00e-03
28,1.366537,0.974790,1.00e-03
29,0.848383,0.966387,5.00e-04
30,0.747369,0.964286,5.00e-04
31,0.652181,0.976891,5.00e-04
32,0.664718,0.964286,5.00e-04
33,0.522632,0.955882,5.00e-04
34,0.597013,0.966387,5.00e-04
